sample, max_time_ms, sensor_time_ms, raw, smoothed, frequency
0,15,4968460,2988,3004.915771484375,714.0867491026182
1,22,4968470,3016,3005.802490234375,715.1651908255913
2,30,4968480,3001,3005.418212890625,714.697826488598
3,37,4968490,2986,3003.86474609375,712.8084749788851
4,43,4968500,3000,3003.5556640625,712.4325644003378
5,49,4968510,3017,3004.631103515625,713.7405313027872
6,52,4968520,2999,3004.1806640625,713.192699535473
7,56,4968530,3017,3005.206298828125,714.4400931693413
8,63,4968540,3003,3005.02978515625,714.225414379223
9,70,4968550,3002,3004.787353515625,713.9305650865709
10,95,4968560,3017,3005.764404296875,715.118870090794
11,101,4968570,3003,3005.543212890625,714.849853515625
12,103,4968580,3002,3005.259765625,714.5051203547297
13,107,4968590,3005,3005.239013671875,714.4798814928209
14,121,4968600,3017,3006.179931640625,715.624241184544
15,132,4968610,3015,3006.885498046875,716.4823624894426
16,140,4968620,3001,3006.41455078125,715.9095887880068
17,150,4968630,3017,3007.261474609375,716.9396312816723
18,160,4968640,3003,3006.920654296875,716.525120090794
19,174,4968650,3003,3006.60693359375,716.1435678842905
20,181,4968660,3006,3006.558349609375,716.0844792546453
21,191,4968670,3008,3006.673583984375,716.2246291701858
22,208,4968680,3001,3006.2197265625,715.6726404138514
23,214,4968690,3002,3005.882080078125,715.261989284206
24,219,4968700,3007,3005.971435546875,715.3706648543074
25,231,4968710,3004,3005.813720703125,715.1788495038006
26,249,4968720,3017,3006.708740234375,716.2673867715372
27,261,4968730,3002,3006.33203125,715.8092271959459
28,271,4968740,2988,3004.865478515625,714.0255819784628
29,290,4968750,3016,3005.75634765625,715.1090714738176
30,296,4968760,2987,3004.255859375,713.284153293919
31,311,4968770,2990,3003.115478515625,711.8972036000845
32,317,4968780,3003,3003.106201171875,711.8859203441723
33,323,4968790,3015,3004.0576171875,713.0430479307432
34,333,4968800,3018,3005.173095703125,714.3997109902872
35,351,4968810,3004,3005.079345703125,714.2856907200169
36,354,4968820,2991,3003.952880859375,712.9156659100506
37,362,4968830,3018,3005.07666015625,714.2824245143581
38,368,4968840,3005,3005.070556640625,714.2750013196791
39,384,4968850,3016,3005.94482421875,715.3382997255068
40,394,4968860,3016,3006.749267578125,716.316676784206
41,398,4968870,3021,3007.889404296875,717.7033295502533
42,412,4968880,2984,3005.978271484375,715.378978832348
43,422,4968890,3001,3005.580078125,714.8946896114865
44,426,4968900,3006,3005.61376953125,714.9356656461149
45,430,4968910,3006,3005.644775390625,714.9733754750845
46,448,4968920,3016,3006.47314453125,715.9808514569256
47,460,4968930,2999,3005.875244140625,715.2536753061655
48,468,4968940,3002,3005.565185546875,714.8765770164696
49,473,4968950,3006,3005.599853515625,714.9187407622467
50,481,4968960,3002,3005.311767578125,714.5683659733953
51,491,4968970,3005,3005.286865234375,714.5380793391047
52,502,4968980,3002,3005.02392578125,714.218288112331
53,511,4968990,3002,3004.781982421875,713.9240326752533
