sample,time_ms,raw,smoothed,frequency
0,958,2606.0,2633.35,262.18256
1,1001,2620.0,2627.85,255.49336
2,1021,2624.0,2627.26,254.7757
3,1036,2608.0,2624.67,251.62558
4,1052,2602.0,2622.85,249.41228
5,1070,2570.0,2616.13,241.23904
6,1087,2556.0,2607.12,230.28122
7,1103,2558.0,2603.19,225.50128
8,1121,2559.0,2596.4,217.24313
9,1137,2560.0,2590.74,210.35945
10,1153,2560.0,2588.28,207.36761
11,1171,2576.0,2585.8,204.35141
12,1187,2592.0,2586.17,204.80125
13,1204,2592.0,2586.63,205.36067
14,1220,2584.0,2585.93,204.50937
15,1237,2576.0,2585.0,203.37839
16,1254,2581.0,2584.68,202.9891
17,1271,2592.0,2585.51,203.99866
18,1287,2592.0,2586.03,204.63112
19,1302,2595.0,2587.55,206.4798
20,1321,2592.0,2588.24,207.31891
21,1337,2586.0,2588.06,207.10007
22,1354,2572.0,2586.18,204.81343
23,1369,2576.0,2584.69,203.00128
24,1387,2584.0,2584.63,202.92824
25,1404,2588.0,2585.52,204.01083
26,1420,2570.0,2583.72,201.82158
27,1436,2566.0,2582.31,200.10683
28,1454,2564.0,2579.49,196.677
29,1471,2584.0,2579.23,196.36078
30,1488,2584.0,2579.61,196.8231
31,1503,2596.0,2581.83,199.52307
32,1521,2600.0,2584.33,202.5636
33,1535,2596.0,2585.26,203.69461
34,1555,2573.0,2584.41,202.6607
35,1571,2541.0,2579.07,196.16629
36,1587,2520.0,2574.34,190.41362
37,1604,2502.0,2563.75,177.53378
38,1620,2491.0,2557.93,170.45532
39,1636,2516.0,2551.19,162.25803
40,1655,2527.0,2547.26,157.4784
41,1671,2530.0,2545.88,155.79987
42,1687,2521.0,2542.27,151.40948
43,1705,2533.0,2540.04,148.69734
44,1720,2538.0,2539.88,148.50256
45,1736,2540.0,2539.82,148.42981
46,1753,2547.0,2540.85,149.68256
47,1770,2546.0,2541.26,150.18109
48,1788,2549.0,2542.16,151.27557
49,1802,2550.0,2542.78,152.02977
50,1821,2545.0,2543.2,152.54048
51,1838,2532.0,2541.85,150.89877
52,1852,2528.0,2540.74,149.54865
53,1871,2512.0,2536.47,144.35538
54,1887,2520.0,2533.57,140.82846
55,1904,2531.0,2533.37,140.58528
56,1921,2528.0,2533.28,140.47571
57,1938,2506.0,2530.05,136.54736
58,1954,2492.0,2527.0,132.83783
59,1971,2421.0,2513.15,115.993126
60,1988,2345.0,2490.56,100.0
61,2002,2281.0,2473.79,100.0
62,2020,2304.0,2445.95,100.0
63,2038,2352.0,2429.31,100.0
64,2054,2373.0,2424.8,100.0
65,2071,2420.0,2423.18,100.0
66,2086,2448.0,2425.17,100.0
67,2105,2512.0,2435.86,100.0
68,2121,2559.0,2453.08,100.0
69,2135,2568.0,2462.27,100.0
70,2152,2624.0,2484.76,100.0
71,2171,2608.0,2505.75,106.99324
72,2186,2561.0,2510.17,112.36882
73,2205,2482.0,2508.93,110.860725
74,2221,2412.0,2496.69,100.0
75,2235,2389.0,2488.08,100.0
76,2254,2338.0,2466.94,100.0
77,2271,2301.0,2442.56,100.0
78,2287,2305.0,2431.55,100.0
79,2305,2396.0,2422.19,100.0
80,2321,2456.0,2424.89,100.0
81,2337,2469.0,2431.52,100.0
82,2355,2481.0,2438.83,100.0
83,2371,2484.0,2445.55,100.0
84,2387,2490.0,2449.1,100.0
85,2405,2506.0,2457.4,100.0
86,2421,2500.0,2460.81,100.0
87,2438,2497.0,2466.37,100.0
88,2455,2498.0,2471.45,100.0
89,2471,2480.0,2472.13,100.0
90,2487,2439.0,2468.88,100.0
91,2504,2340.0,2453.58,100.0
92,2521,2227.0,2435.45,100.0
93,2538,2398.0,2419.98,100.0
94,2554,2561.0,2437.59,100.0
95,2570,2632.0,2453.15,100.0
96,2586,2728.0,2492.13,100.0
97,2603,2753.0,2513.0,115.810814
98,2622,2802.0,2556.14,168.27824
99,2637,2829.0,2597.46,218.53238
100,2654,2812.0,2614.62,239.40285
101,2670,2796.0,2642.26,273.01892
102,2687,2818.0,2668.22,304.59186
103,2702,2828.0,2681.01,320.1473
104,2721,2850.0,2706.23,350.82025
105,2738,2869.0,2730.57,380.42303
106,2754,2884.0,2742.84,395.34607
107,2769,2890.0,2765.15,422.4796
108,2787,2896.0,2785.25,446.9257
109,2804,2900.0,2794.43,458.09045
110,2819,2920.0,2812.83,480.46902
111,2836,2926.0,2821.89,491.48773
112,2853,2936.0,2839.12,512.44336
113,2871,2940.0,2854.32,530.9298
114,2887,2945.0,2861.58,539.7596
115,2903,2948.0,2874.7,555.7162
116,2921,2940.0,2885.32,568.6325
117,2938,2933.0,2889.14,573.27826
118,2954,2928.0,2895.18,580.62427
119,2971,2934.0,2900.77,587.423
120,2986,2938.0,2903.75,591.0473
121,3005,2941.0,2909.25,597.7365
122,3021,2942.0,2914.43,604.03644
123,3035,2944.0,2916.8,606.919
124,3055,2948.0,2921.29,612.37976
125,3071,2949.0,2923.51,615.0797
126,3087,2950.0,2927.43,619.84717
127,3103,2949.0,2931.11,624.3231
128,3121,2954.0,2932.94,626.5486
129,3137,2955.0,2936.18,630.48914
130,3154,2954.0,2938.99,633.90674
131,3170,2960.0,2940.68,635.96204
132,3188,2956.0,2942.81,638.55273
133,3204,2956.0,2944.98,641.1919
134,3221,2956.0,2945.86,642.2623
135,3235,2954.0,2947.26,643.96484
136,3255,2957.0,2948.68,645.69183
137,3271,2955.0,2949.19,646.31213
138,3287,2960.0,2950.63,648.0634
139,3304,2957.0,2951.83,649.5231
140,3321,2956.0,2952.16,649.9242
141,3335,2960.0,2953.07,651.0311
142,3352,2958.0,2953.47,651.5175
143,3372,2954.0,2953.69,651.78503
144,3387,2938.0,2951.87,649.5718
145,3404,2936.0,2950.6,648.0271
146,3420,2930.0,2947.59,644.36633
147,3437,2930.0,2944.88,641.0701
148,3454,2928.0,2943.53,639.4284
149,3471,2930.0,2941.31,636.7284
150,3485,2930.0,2940.4,635.62146
151,3502,2944.0,2940.51,635.75543
152,3521,2950.0,2941.68,637.1783
153,3537,2950.0,2942.34,637.9812
154,3554,2960.0,2944.47,640.5716
155,3569,2956.0,2946.61,643.1745
