sample,time_ms,raw,smoothed,frequency
0,794,2736.0,2732.43,382.68506
1,840,2732.0,2732.22,382.4297
2,857,2731.0,2732.13,382.32013
3,877,2730.0,2731.8,381.91898
4,892,2736.0,2732.0,382.16217
5,908,2730.0,2731.84,381.96768
6,925,2728.0,2731.4,381.4323
7,942,2732.0,2731.64,381.72418
8,959,2732.0,2731.67,381.7607
9,976,2732.0,2731.79,381.9068
10,993,2728.0,2731.36,381.3839
11,1010,2733.0,2731.49,381.54187
12,1025,2730.0,2731.26,381.26218
13,1043,2733.0,2731.53,381.59058
14,1058,2730.0,2731.41,381.4445
15,1077,2730.0,2731.41,381.4445
16,1093,2730.0,2731.34,381.35956
17,1110,2730.0,2731.23,381.22565
18,1126,2732.0,2731.42,381.45667
19,1143,2734.0,2731.53,381.59058
20,1158,2730.0,2731.4,381.4323
21,1176,2732.0,2731.2,381.18915
22,1193,2732.0,2731.27,381.27435
23,1210,2731.0,2731.08,381.04333
24,1226,2733.0,2731.45,381.4932
25,1244,2731.0,2731.41,381.4445
26,1260,2728.0,2731.03,380.98248
27,1276,2736.0,2731.35,381.37173
28,1293,2730.0,2731.25,381.25
29,1309,2733.0,2731.52,381.5784
30,1326,2732.0,2731.37,381.32303
31,1343,2734.0,2731.58,381.65146
32,1359,2732.0,2731.57,381.63928
33,1374,2730.0,2731.45,381.4932
34,1393,2730.0,2731.22,381.21347
35,1410,2732.0,2731.42,381.45667
36,1424,2732.0,2731.46,381.50534
37,1444,2732.0,2731.47,381.51752
38,1459,2734.0,2731.64,381.72418
39,1475,2732.0,2731.67,381.7607
40,1490,2732.0,2732.01,382.17435
41,1510,2726.0,2731.83,381.9555
42,1525,2731.0,2731.76,381.8703
43,1541,2731.0,2731.57,381.63928
44,1559,2732.0,2731.56,381.6271
45,1577,2732.0,2731.6,381.6758
46,1593,2732.0,2731.51,381.56622
47,1610,2731.0,2731.36,381.3839
48,1625,2730.0,2731.25,381.25
49,1641,2736.0,2731.76,381.8703
50,1659,2730.0,2731.62,381.70016
51,1676,2730.0,2731.81,381.93115
52,1693,2729.0,2731.45,381.4932
53,1710,2733.0,2731.58,381.65146
54,1726,2732.0,2731.64,381.72418
55,1743,2734.0,2731.86,381.99203
56,1759,2728.0,2731.55,381.61493
57,1776,2732.0,2731.62,381.70016
58,1792,2731.0,2731.6,381.6758
59,1809,2730.0,2731.47,381.51752
60,1826,2732.0,2731.48,381.5297
61,1843,2732.0,2731.7,381.79724
62,1859,2731.0,2731.65,381.73636
63,1876,2732.0,2731.85,381.97986
64,1893,2731.0,2731.65,381.73636
65,1907,2732.0,2731.67,381.7607
66,1927,2731.0,2731.5,381.55405
67,1940,2725.0,2730.98,380.9216
68,1960,2731.0,2731.05,381.0068
69,1974,2731.0,2730.97,380.90942
70,1994,2730.0,2730.89,380.812
71,2010,2733.0,2731.29,381.2987
72,2026,2732.0,2731.4,381.4323
73,2041,2732.0,2731.45,381.4932
74,2060,2730.0,2731.45,381.4932
75,2076,2736.0,2731.85,381.97986
76,2093,2730.0,2731.7,381.79724
77,2109,2730.0,2731.37,381.3961
78,2125,2732.0,2731.42,381.45667
79,2143,2730.0,2731.2,381.18915
80,2158,2736.0,2731.64,381.72418
81,2177,2731.0,2731.69,381.78506
82,2193,2732.0,2731.72,381.82156
83,2208,2732.0,2731.83,381.9555
84,2227,2732.0,2731.93,382.07697
85,2243,2730.0,2731.78,381.89465
86,2259,2731.0,2731.73,381.83377
87,2277,2732.0,2731.75,381.85812
88,2293,2732.0,2731.79,381.9068
89,2309,2732.0,2731.9,382.0404
90,2327,2732.0,2731.91,382.0526
91,2343,2732.0,2732.66,382.96475
92,2359,2731.0,2732.52,382.79462
93,2377,2736.0,2732.69,383.00128
94,2393,2736.0,2732.98,383.35403
95,2409,2731.0,2732.82,383.15955
96,2425,2730.0,2732.83,383.17172
97,2444,2731.0,2732.77,383.0987
98,2459,2731.0,2732.63,382.92822
99,2477,2725.0,2731.82,381.94333
100,2493,2720.0,2730.01,379.7419
101,2510,2711.0,2728.49,377.89325
102,2526,2692.0,2724.06,372.5055
103,2543,2658.0,2715.16,361.68097
104,2560,2656.0,2710.43,355.92828
105,2576,2644.0,2700.52,343.8757
106,2592,2644.0,2696.0,338.37836
107,2610,2612.0,2684.28,324.12436
108,2626,2588.0,2670.22,307.0243
109,2641,2601.0,2664.69,300.29858
110,2658,2598.0,2654.88,288.36743
111,2677,2601.0,2646.53,278.21222
112,2693,2602.0,2642.97,273.8824
113,2710,2585.0,2634.88,264.0431
114,2727,2588.0,2627.82,255.45683
115,2744,2578.0,2623.84,250.61632
116,2759,2549.0,2613.08,237.52983
117,2774,2545.0,2607.63,230.90121
118,2793,2540.0,2597.24,218.26486
119,2809,2559.0,2590.85,210.49336
120,2825,2559.0,2588.31,207.40411
121,2841,2560.0,2583.96,202.11346
122,2858,2564.0,2580.6,198.02715
123,2877,2560.0,2577.43,194.17154
124,2892,2560.0,2576.04,192.48114
125,2909,2561.0,2573.8,189.75682
126,2925,2559.0,2572.62,188.32176
127,2943,2561.0,2570.69,185.97424
128,2960,2559.0,2568.97,183.8824
129,2974,2556.0,2567.93,182.6175
130,2994,2547.0,2565.08,179.15144
131,3009,2547.0,2562.16,175.59988
132,3026,2552.0,2561.34,174.60281
133,3043,2552.0,2559.91,172.8634
134,3058,2554.0,2559.44,172.29182
135,3077,2560.0,2559.45,172.30399
136,3091,2559.0,2559.38,172.21878
137,3110,2555.0,2559.0,171.75674
138,3127,2560.0,2559.08,171.85416
139,3143,2576.0,2561.09,174.29877
140,3157,2576.0,2562.28,175.74599
141,3174,2584.0,2565.18,179.27289
142,3193,2588.0,2568.39,183.1769
143,3210,2584.0,2569.64,184.69717
144,3226,2577.0,2571.36,186.7893
145,3241,2573.0,2571.83,187.3609
146,3260,2570.0,2571.68,187.1783
147,3275,2573.0,2571.81,187.33656
148,3293,2572.0,2571.69,187.19046
149,3308,2570.0,2571.56,187.0325
150,3325,2561.0,2570.67,185.9499
151,3343,2560.0,2569.25,184.22296
152,3359,2559.0,2568.43,183.22559
153,3375,2556.0,2566.67,181.08505
154,3392,2559.0,2566.06,180.3433
155,3410,2562.0,2565.21,179.30942
156,3424,2572.0,2565.67,179.86882
157,3443,2570.0,2566.55,180.93925
158,3458,2578.0,2567.47,182.05807
159,3477,2589.0,2570.41,185.63368
160,3493,2586.0,2571.66,187.15395
161,3509,2584.0,2573.7,189.63507
162,3526,2580.0,2574.67,190.81476
163,3543,2582.0,2575.25,191.52026
164,3559,2579.0,2575.76,192.14055
165,3577,2576.0,2575.94,192.35938
166,3592,2570.0,2575.47,191.78781
167,3608,2560.0,2573.68,189.61072
168,3624,2559.0,2572.5,188.17567
169,3641,2561.0,2570.59,185.85281
170,3661,2572.0,2570.59,185.85281
171,3676,2572.0,2570.7,185.98642
172,3691,2579.0,2571.75,187.26352
173,3708,2581.0,2572.81,188.55276
174,3727,2578.0,2573.6,189.51363
175,3742,2578.0,2573.96,189.95131
176,3760,2568.0,2573.33,189.18524
177,3776,2562.0,2572.43,188.09045
178,3793,2559.0,2570.37,185.58528
179,3810,2530.0,2565.34,179.46768
180,3827,2514.0,2561.24,174.48108
181,3843,2426.0,2544.14,153.68365
182,3857,2369.0,2530.13,136.64445
183,3875,2292.0,2495.17,100.0
184,3893,2306.0,2465.38,100.0
185,3910,2312.0,2453.11,100.0
186,3927,2324.0,2432.76,100.0
187,3942,2329.0,2416.9,100.0
188,3960,2320.0,2402.38,100.0
189,3977,2333.0,2396.83,100.0
190,3993,2388.0,2392.61,100.0
191,4010,2434.0,2395.92,100.0
192,4027,2486.0,2408.87,100.0
193,4043,2498.0,2422.71,100.0
194,4059,2492.0,2428.25,100.0
195,4077,2500.0,2438.46,100.0
196,4092,2506.0,2443.87,100.0
197,4110,2516.0,2455.24,100.0
198,4126,2492.0,2462.51,100.0
199,4141,2464.0,2462.63,100.0
200,4159,2444.0,2460.21,100.0
201,4177,2456.0,2459.12,100.0
202,4193,2442.0,2457.75,100.0
203,4209,2440.0,2455.02,100.0
204,4227,2467.0,2456.2,100.0
205,4244,2473.0,2457.54,100.0
206,4260,2464.0,2459.49,100.0
207,4277,2381.0,2451.93,100.0
208,4292,2318.0,2441.21,100.0
209,4307,2232.0,2410.99,100.0
210,4327,2267.0,2386.89,100.0
211,4341,2288.0,2378.98,100.0
212,4361,2315.0,2368.41,100.0
213,4376,2331.0,2365.42,100.0
214,4394,2376.0,2364.84,100.0
215,4410,2378.0,2367.59,100.0
216,4426,2356.0,2366.67,100.0
217,4443,2340.0,2362.94,100.0
218,4460,2374.0,2363.02,100.0
219,4474,2386.0,2364.86,100.0
220,4491,2397.0,2369.13,100.0
221,4511,2416.0,2376.48,100.0
222,4527,2348.0,2374.2,100.0
223,4543,2258.0,2359.22,100.0
224,4558,2233.0,2349.12,100.0
225,4575,2234.0,2330.85,100.0
226,4591,2334.0,2327.07,100.0
227,4611,2443.0,2342.0,100.0
228,4624,2434.0,2349.36,100.0
229,4641,2468.0,2367.59,100.0
230,4660,2462.0,2375.14,100.0
231,4677,2469.0,2389.56,100.0
232,4692,2462.0,2401.42,100.0
233,4710,2452.0,2405.47,100.0
234,4726,2326.0,2399.44,100.0
235,4743,2246.0,2377.05,100.0
236,4760,2275.0,2368.89,100.0
237,4775,2337.0,2361.49,100.0
238,4793,2280.0,2354.93,100.0
239,4808,2242.0,2345.9,100.0
240,4827,2250.0,2329.55,100.0
241,4843,2360.0,2330.1,100.0
242,4859,2388.0,2334.74,100.0
243,4876,2392.0,2344.41,100.0
244,4893,2394.0,2348.38,100.0
245,4910,2411.0,2356.82,100.0
246,4926,2441.0,2369.68,100.0
247,4943,2450.0,2376.1,100.0
248,4960,2468.0,2389.12,100.0
249,4976,2482.0,2402.94,100.0
250,4994,2493.0,2410.15,100.0
251,5009,2501.0,2424.03,100.0
252,5027,2518.0,2437.8,100.0
253,5043,2516.0,2444.06,100.0
254,5061,2522.0,2456.03,100.0
255,5076,2528.0,2467.08,100.0
256,5091,2529.0,2472.04,100.0
257,5107,2536.0,2481.42,100.0
258,5128,2540.0,2490.56,100.0
259,5143,2540.0,2494.52,100.0
260,5160,2536.0,2500.89,101.0823
261,5176,2541.0,2504.1,104.9866
262,5194,2540.0,2509.47,111.51753
263,5210,2548.0,2515.09,118.35281
264,5226,2553.0,2518.12,122.03798
265,5243,2559.0,2524.25,129.49324
266,5260,2560.0,2529.75,136.18243
267,5276,2561.0,2532.25,139.22298
268,5293,2559.0,2536.36,144.22176
269,5310,2558.0,2539.75,148.34459
270,5325,2559.0,2541.29,150.21762
271,5344,2560.0,2544.17,153.72017
272,5360,2561.0,2546.68,156.77289
273,5376,2565.0,2548.14,158.54852
274,5392,2559.0,2549.81,160.5798
275,5411,2545.0,2549.59,160.31227
276,5426,2543.0,2549.06,159.66763
277,5443,2542.0,2547.68,157.9891
278,5460,2530.0,2546.27,156.27435
279,5475,2531.0,2544.14,153.68365
280,5492,2537.0,2542.82,152.07846
281,5510,2544.0,2542.92,152.1999
282,5526,2538.0,2542.38,151.5431
283,5543,2525.0,2540.52,149.2811
284,5560,2530.0,2539.68,148.25937
285,5574,2540.0,2538.92,147.33504
286,5592,2524.0,2537.73,145.88782
287,5610,2468.0,2529.08,135.36766
288,5625,2449.0,2516.7,120.31075
289,5642,2474.0,2513.29,116.16356
290,5659,2507.0,2511.51,113.99866
291,5676,2530.0,2513.32,116.20008
292,5693,2550.0,2518.07,121.97711
293,5710,2552.0,2520.79,125.28519
294,5727,2559.0,2526.66,132.42422
295,5743,2560.0,2529.32,135.65955
296,5760,2561.0,2534.26,141.66757
297,5776,2574.0,2539.78,148.38112
298,5791,2576.0,2542.68,151.90802
299,5807,2580.0,2548.41,158.87692
300,5826,2581.0,2553.19,164.69046
301,5843,2584.0,2555.66,167.69449
302,5858,2585.0,2559.8,172.7298
303,5875,2587.0,2561.97,175.3689
304,5891,2592.0,2565.78,180.00275
305,5911,2588.0,2569.48,184.50269
306,5926,2589.0,2571.05,186.41222
307,5942,2593.0,2574.34,190.41362
308,5960,2592.0,2577.06,193.7217
309,5976,2594.0,2578.41,195.3634
310,5994,2592.0,2580.5,197.9054
311,6009,2593.0,2582.49,200.32565
312,6027,2594.0,2583.41,201.44449
313,6042,2596.0,2585.2,203.62155
314,6060,2593.0,2586.62,205.34879
315,6077,2601.0,2587.77,206.74731
316,6092,2595.0,2588.95,208.18237
317,6109,2596.0,2589.52,208.8757
318,6126,2593.0,2590.35,209.88525
319,6143,2586.0,2590.12,209.60555
320,6158,2586.0,2589.79,209.2041
321,6176,2573.0,2588.02,207.05138
322,6193,2569.0,2585.32,203.76765
323,6209,2572.0,2584.25,202.46622
324,6226,2571.0,2582.0,199.72974
325,6244,2576.0,2581.22,198.78104
326,6259,2580.0,2581.13,198.67148
327,6277,2572.0,2579.72,196.95673
328,6293,2576.0,2578.64,195.64311
329,6308,2570.0,2577.95,194.80399
330,6325,2572.0,2577.03,193.68517
331,6342,2571.0,2575.96,192.38373
332,6360,2564.0,2575.0,191.21622
333,6376,2520.0,2568.76,183.62704
334,6393,2508.0,2563.9,177.7161
335,6409,2477.0,2550.92,161.92964
336,6427,2482.0,2540.48,149.2324
337,6442,2454.0,2533.56,140.81628
338,6461,2466.0,2522.01,126.76893
339,6476,2472.0,2514.33,117.428474
340,6493,2488.0,2512.22,114.86213
341,6510,2507.0,2511.27,113.70678
342,6526,2517.0,2511.86,114.42445
343,6543,2524.0,2512.83,115.60415
344,6560,2541.0,2516.42,119.97018
345,6576,2548.0,2520.76,125.24866
346,6593,2553.0,2523.33,128.37442
347,6610,2555.0,2528.12,134.20013
348,6625,2532.0,2528.43,134.57693
349,6643,2492.0,2524.16,129.38368
350,6660,2480.0,2516.86,120.50554
351,6676,2485.0,2514.32,117.4163
352,6694,2496.0,2510.99,113.3662
353,6709,2450.0,2504.12,105.010956
354,6727,2476.0,2501.87,102.27447
355,6744,2492.0,2500.06,100.073044
356,6760,2498.0,2499.3,100.0
357,6776,2501.0,2499.44,100.0
358,6793,2508.0,2500.68,100.82694
359,6810,2531.0,2504.31,105.24197
360,6824,2536.0,2506.84,108.31902
361,6842,2531.0,2511.07,113.46359
362,6861,2513.0,2511.95,114.53372
363,6876,2517.0,2512.36,115.03256
364,6894,2489.0,2510.02,112.18651
365,6910,2436.0,2499.83,100.0
366,6927,2464.0,2496.96,100.0
367,6944,2480.0,2493.47,100.0
368,6960,2484.0,2492.72,100.0
369,6977,2502.0,2493.7,100.0
370,6994,2497.0,2494.43,100.0
371,7009,2508.0,2495.51,100.0
372,7027,2508.0,2497.43,100.0
373,7043,2496.0,2498.09,100.0
374,7059,2508.0,2498.89,100.0
375,7075,2520.0,2501.91,102.32287
376,7094,2522.0,2505.22,106.34861
377,7108,2512.0,2505.76,107.00542
378,7127,2496.0,2504.92,105.98369
379,7144,2497.0,2504.29,105.21761
380,7161,2469.0,2500.34,100.41362
381,7176,2482.0,2497.38,100.0
382,7193,2456.0,2494.07,100.0
383,7208,2449.0,2486.7,100.0
384,7225,2490.0,2485.88,100.0
385,7244,2512.0,2489.01,100.0
386,7260,2513.0,2490.93,100.0
387,7277,2466.0,2488.43,100.0
388,7293,2477.0,2487.51,100.0
389,7310,2473.0,2485.65,100.0
390,7327,2471.0,2483.7,100.0
391,7344,2480.0,2483.4,100.0
392,7359,2502.0,2485.52,100.0
393,7377,2523.0,2490.76,100.0
394,7393,2531.0,2493.98,100.0
395,7409,2540.0,2501.05,101.277084
396,7427,2536.0,2503.85,104.68255
397,7443,2530.0,2508.01,109.741905
398,7461,2529.0,2511.53,114.02301
399,7476,2500.0,2510.61,112.90418
400,7494,2497.0,2508.44,110.26479
401,7510,2483.0,2504.9,105.95934
402,7527,2478.0,2502.75,103.3446
403,7543,2476.0,2498.94,100.0
404,7560,2490.0,2496.83,100.0
405,7576,2496.0,2496.76,100.0
406,7592,2496.0,2496.35,100.0
407,7610,2492.0,2496.05,100.0
408,7626,2505.0,2496.77,100.0
409,7644,2520.0,2500.19,100.23101
410,7660,2425.0,2492.91,100.0
411,7676,2348.0,2481.31,100.0
412,7694,2358.0,2463.7,100.0
413,7709,2368.0,2456.04,100.0
414,7724,2368.0,2441.93,100.0
415,7743,2373.0,2431.78,100.0
416,7758,2376.0,2427.32,100.0
417,7777,2353.0,2416.05,100.0
418,7792,2368.0,2408.38,100.0
419,7810,2372.0,2405.47,100.0
420,7826,2418.0,2405.77,100.0
421,7843,2441.0,2410.52,100.0
422,7860,2436.0,2412.56,100.0
423,7875,2390.0,2410.42,100.0
424,7894,2336.0,2402.52,100.0
425,7908,2312.0,2395.28,100.0
426,7928,2322.0,2383.66,100.0
427,7941,2330.0,2379.36,100.0
428,7960,2344.0,2372.83,100.0
