sample,processing_time_ms,sensor_time_ms,raw,smoothed,frequency
0,1802,195165.0,3114.0,3111.5093,843.7275
1,1851,195215.0,3088.0,3110.2004,842.1357
2,1869,195235.0,3128.0,3111.904,844.20764
3,1888,195245.0,3130.0,3113.3518,845.9684
4,1904,195275.0,3115.0,3115.9216,849.0939
5,1921,195285.0,3115.0,3115.848,849.0042
6,1938,195305.0,3115.0,3115.644,848.7562
7,1954,195325.0,3163.0,3117.398,850.8894
8,1971,195335.0,3072.0,3113.766,846.4723
9,1986,195355.0,3114.0,3113.8755,846.60535
10,2005,195375.0,3114.0,3113.8948,846.6288
11,2021,195385.0,3098.0,3112.6233,845.08234
12,2038,195405.0,3143.0,3115.3755,848.4296
13,2055,195425.0,3115.0,3115.2441,848.2699
14,2071,195435.0,3115.0,3115.2246,848.24615
15,2088,195455.0,3133.0,3116.3357,849.5975
16,2104,195475.0,3131.0,3114.172,846.96606
17,2122,195485.0,3116.0,3114.3184,847.144
18,2138,195505.0,3114.0,3114.2695,847.0846
19,2154,195515.0,3114.0,3114.248,847.0585
20,2171,195535.0,3113.0,3114.4243,847.2728
21,2188,195545.0,3112.0,3114.2305,847.03705
22,2205,195575.0,3112.0,3110.7751,842.8346
23,2221,195585.0,3130.0,3112.3132,844.7053
24,2238,195605.0,3116.0,3112.7324,845.2151
25,2255,195625.0,3117.0,3113.3145,845.923
26,2271,195635.0,3128.0,3114.4893,847.3518
27,2288,195655.0,3113.0,3114.4077,847.2526
28,2305,195675.0,3119.0,3114.8186,847.7523
29,2323,195685.0,3113.0,3114.673,847.5754
30,2338,195705.0,3114.0,3114.5696,847.44946
31,2356,195725.0,3114.0,3114.482,847.3429
32,2370,195735.0,3099.0,3113.2434,845.8366
33,2388,195755.0,3130.0,3114.419,847.2663
34,2405,195775.0,3116.0,3114.7354,847.6511
35,2422,195785.0,3112.0,3114.5166,847.3851
36,2438,195805.0,3114.0,3114.6582,847.5573
37,2455,195825.0,3112.0,3114.3235,847.1502
38,2472,195835.0,3114.0,3114.2976,847.1187
39,2488,195845.0,3115.0,3114.3538,847.187
40,2505,195875.0,3114.0,3115.2234,848.2446
41,2521,195885.0,3052.0,3110.1655,842.0932
42,2539,195905.0,3100.0,3109.6345,841.4474
43,2554,195925.0,3144.0,3112.5579,845.0028
44,2571,195935.0,3114.0,3112.6733,845.14325
45,2586,195955.0,3115.0,3113.178,845.757
46,2605,195975.0,3087.0,3112.4692,844.895
47,2621,195985.0,3114.0,3112.5918,845.04407
48,2639,196005.0,3115.0,3112.741,845.22546
49,2655,196025.0,3114.0,3113.0815,845.6397
50,2672,196035.0,3128.0,3114.275,847.09106
51,2689,196055.0,3116.0,3115.6438,848.756
52,2705,196075.0,3114.0,3115.2441,848.2699
53,2722,196085.0,3113.0,3115.0647,848.0517
54,2739,196105.0,3116.0,3115.061,848.04724
55,2755,196125.0,3162.0,3119.6948,853.68286
56,2772,196135.0,3117.0,3119.4792,853.4207
57,2788,196145.0,3144.0,3121.441,855.8065
58,2806,196175.0,3072.0,3118.8835,852.69617
59,2821,196185.0,3114.0,3118.493,852.2211
60,2839,196205.0,3097.0,3116.4429,849.7278
61,2855,196225.0,3116.0,3116.154,849.3765
62,2872,196235.0,3114.0,3115.9817,849.16693
63,2889,196255.0,3114.0,3115.7507,848.886
64,2905,196275.0,3114.0,3115.5554,848.6485
65,2921,196285.0,3120.0,3115.911,849.0808
66,2938,196305.0,3113.0,3115.7583,848.89526
67,2954,196325.0,3098.0,3114.1345,846.92035
68,2972,196325.0,3098.0,3114.1345,846.92035
69,2988,196325.0,3098.0,3114.1345,846.92035
70,3005,196375.0,3113.0,3114.4265,847.2755
71,3021,196385.0,3114.0,3114.3923,847.23395
72,3039,196405.0,3113.0,3113.148,845.72046
73,3055,196425.0,3114.0,3112.3955,844.80536
74,3071,196435.0,3114.0,3112.524,844.9615
75,3088,196435.0,3114.0,3112.524,844.9615
76,3105,196475.0,3088.0,3112.8826,845.39777
77,3122,196485.0,3098.0,3111.692,843.94965
78,3139,196505.0,3117.0,3112.4336,844.8516
79,3156,196525.0,3100.0,3113.8357,846.55695
80,3171,196535.0,3116.0,3114.0088,846.76746
81,3188,196545.0,3114.0,3114.008,846.7666
82,3205,196575.0,3114.0,3113.9326,846.6748
83,3220,196585.0,3116.0,3114.098,846.8758
84,3237,196605.0,3113.0,3114.003,846.7603
85,3255,196625.0,3098.0,3112.6487,845.1133
86,3272,196635.0,3146.0,3115.317,848.35834
87,3288,196656.0,3112.0,3114.2188,847.02277
88,3305,196666.0,3114.0,3114.2012,847.0014
89,3320,196686.0,3116.0,3114.3303,847.1585
90,3339,196706.0,3115.0,3115.3164,848.3578
91,3355,196716.0,3116.0,3115.371,848.4243
92,3372,196736.0,3112.0,3115.074,848.0629
93,3388,196746.0,3115.0,3115.068,848.0558
94,3405,196776.0,3113.0,3115.7734,848.91364
95,3420,196786.0,3104.0,3114.8315,847.7681
96,3439,196806.0,3101.0,3113.5903,846.25854
97,3455,196826.0,3115.0,3113.807,846.5219
98,3472,196836.0,3115.0,3113.9023,846.638
99,3487,196856.0,3115.0,3114.071,846.8432
100,3506,196876.0,3180.0,3119.34,853.25146
101,3521,196886.0,3102.0,3117.953,851.5643
102,3538,196906.0,3119.0,3117.8193,851.4019
103,3555,196916.0,3116.0,3117.6738,851.225
104,3571,196936.0,3038.0,3111.0295,843.14404
105,3588,196956.0,3088.0,3109.4058,841.1692
106,3605,196966.0,3116.0,3109.9333,841.81085
107,3621,196986.0,3112.0,3110.5452,842.55493
108,3638,197006.0,3116.0,3111.162,843.30524
